sbd, toan, ngu_van, ngoai_ngu, vat_li, hoa_hoc, sinh_hoc, lich_su, dia_li, gdcd, ma_nn
01000695,7.8,8.5,9.4,,,,6.25,6.25,7,N1
01000291,8.4,8.75,9.4,,,,9,9,9.25,N1
01000016,6,5.75,6.8,,,,7.75,7,7.75,N1
01000969
01000559,8,8.75,8.4,5,8.25,8.25,,,,N1
01000832,8,9,6.2,,,,6.75,7,8.25,N1
01000423
01000698,6,9,6,,,,6.5,8.25,8.75,N1
01000835,8,9.25,8.8,,,,6.75,8.25,8.75,N1
01000018,8.2,6,9,7.75,6.75,6.75,,,,N1
01000421
01000694,8,9.25,9,7,6,7,,,,N1
01000422
01000967
01000151,8.6,8,9.4,,,,6,7.5,8.75,N1
01000288,9,8.25,8.2,6.75,5.5,5,,,,N1
01000833,7.6,9,8,,,,9.75,6.75,9.25,N1
01000697,8.2,9,9.6,,,,8.25,9.5,9,N1
01000426
01000830,8.2,7.75,9,,,,8,7.25,8.25,N1
01000968
01000155
01000425
01000971
01000427,8,9,6,,,,,,,N1
01000564,6,6.58,6.8,3.5,3.75,4.25,,,,N1
01000836,6.8,9,8.8,,,,7.25,8.5,8,N1
01000154
01000970
01000153
01000289,8.8,8,7.8,9,5,8,,,,N1
01000287,8.8,7.75,8,8.5,5.25,5.5,,,,N1
01000563,7,8,9,7,7,6.5,,,,N1
01000562
01000561,6.4,8.75,6.2,4.25,7.25,6.5,,,,N1
01000017,7,8.75,7.8,3.75,7.5,7.25,,,,N1
01000424
01000428
01000700,8.4,8.75,8.2,5.75,6.75,5,,,,N1
01000834,9,8.75,9.4,,,,6,7,7,N1
01000972
01000560,6.2,6.5,6.6,3.25,4.25,5.5,,,,N1
01000290,7.6,8.75,6.2,,,,6.5,6,8.5,N1
01000292,6.6,8.25,8.6,6.5,6.25,5.75,,,,N1
01000156,7.8,9.5,9.2,,,,9,9.5,9.25,N1
01000019
01000020,7.6,8.5,9.2,,,,7,8,7.75,N1
01000699,8.2,9.25,8.4,,,,6.75,8.5,9,N1
01000837,8.6,9.5,8.8,,,,9.25,7,9,N1
01000701,4.4,8.25,6.4,,,,5.75,6.25,8,N1
01000429
01000021,8.4,8.5,8.6,2.5,8.75,7.75,,,,N1
01000157,7.6,9,8.4,,,,7.5,8.25,8.25,N1
01000565,7.6,8.5,7,7,9.5,8.25,,,,N1
01000973,,9,8.6,,,,9.75,7,7.5,N1
01000293,6.8,8.5,6.8,,,,9.75,9.25,8.5,N1
01000696
01000294
01000702
01000158,7.6,9,7.2,,,,6.25,8,8,N1
01000023,8.8,9.25,8.8,8.5,6.5,7,,,,N1
01000974
01000566,7,9,7.4,4.5,3.25,5.5,,,,N1
01000975
01000161,7.2,8.75,6.2,,,,8.25,7.25,7.75,N1
01000838,7.2,8.75,8.8,,,,8,8,8.5,N1
01000430
01000296,8,8.5,8.4,7.75,5.25,5.5,,,,N1
01000022
01000568,8,7.5,8.8,7,4.75,4.5,,,,N1
01000025,7.8,9.25,8.4,,,,7,7.5,7.75,N1
01000160,7.4,8.75,8.2,,,,7.5,7.75,9,N1
01000431
01000432
01000295,8.4,7.5,9.2,8.25,6.25,6.25,,,,N1
01000159,7.6,8.5,5.6,,,,7.5,6.5,9.25,N5
01000704,8.2,7.75,7.4,7.5,8,6.5,,,,N1
01000567,5.4,9.25,6.4,3.75,3.25,6.5,,,,N1
01000433
01000703,7.6,8.75,8,,,,6,7.75,7,N1
01000840,7.6,8.75,9.2,,,,6.75,6.75,7.5,N1
01000977
01000839,8.2,8.75,7,,,,8.25,8,8.75,N1
01000027,8.2,8.75,8,6.25,9,5.75,,,,N1
01000026
01000569,8.6,8.5,8.8,4.5,8.75,8,,,,N1
01000164,8.6,7.75,9,6.75,8.5,6,,,,N1
01000435
01000298,8,8.5,9.6,,,,9.5,9.5,9.75,N1
01000707,6.4,8.5,7.4,,,,9,8.5,9,N1
01000841,7.2,8.75,7.4,,,,6.25,5.5,7,N1
01000571,8.4,9,8.8,7.25,6.75,7.5,,,,N1
01000299,8.6,9,8.6,7.5,6.25,5.25,,,,N1
01000979
01000300,6.2,7.5,8.8,,,,6.5,7.25,7.25,N1
01000706,9.2,9,8.8,,,,8,8,7.5,N1
01000570,7,7.5,5.8,5.25,7.25,5.75,,,,N1
01000572
01000843,6.8,7.25,5.8,,,,6.5,7.75,9,N1
01000845,8,8.75,8.6,,,,6.25,7.5,8,N1
01000165,8.4,7.75,6.2,4.75,6.75,6.5,,,,N1
01000981,5.6,7.5,7.6,,,,4.5,6,,N1
01000029
01000437
01000028,8.8,8.5,9,,,,8.25,8.5,8.75,N1
01000978
01000575,5.8,8.75,6,,,,9.25,8.75,9.5,N1
01000434
01000710,8.2,7.75,9.4,7.5,4.75,5,,,,N1
01000302,8.2,8,8.4,,,,7,8,8.5,N1
01000846,6.2,7.5,3.8,,,,3.75,6.75,7.5,N1
01000983
01000712
01000303,6,8.5,7,,,,4.75,7,7.5,N1
01000301,7.8,8.75,7,,,,6.75,8,8,N1
01000033,8.6,9.5,9.2,,,,9,8,9,N1
01000167,8,7.25,7,7.25,7.25,4.75,,,,N1
01000982
01000438,6.8,8.75,7.2,,,,7.25,8,,N1
01000031,6.8,9.5,8.4,,,,8.5,7.75,9,N1
01000439,6.2,8.5,7.4,,,,,,,N1
01000980
01000711,8.2,8.25,7.4,6,8.5,7.75,,,,N1
01000574,7,9,6.4,,,,6.25,8.25,8,N1
01000847,8.2,9.25,9,,,,6.75,6.25,8.25,N1
01000024,8.4,9.5,8.8,,,,7.25,8.75,8.25,N1
01000163
01000708,7.8,7.75,8.6,8.25,5.5,5.5,,,,N1
01000166,7.4,9.25,8,,,,7.75,7.5,9.25,N1
01000576,8.2,9.25,6.6,,,,7.25,7.75,7.25,N1
01000848,7.6,9.25,9,,,,6.75,7.75,8.75,N1
01000984
01000169,8.8,9.5,7.6,,,,6.25,7,5.75,N1
01000168,8,8.75,8,,,,7.5,6.75,7.75,N1
01000304,8.8,9,10,,,,9.75,9.25,9.25,N1
01000577,7.6,9.25,9.2,,,,8.5,8.75,8,N1
01000440
01000441
01000305,7.8,9,7.8,5.25,9,6.25,,,,N1
01000030,8,7.75,7.4,7,2,3.75,,,,N1
01000162,7,8.5,3.8,5.75,5.25,4,,,,N1
01000709,6.2,7.25,8.2,5.25,3.25,3.75,,,,N1
01000436
01000032,8.2,8.75,7,,,,8.75,9,8.5,N1
01000842,7.4,8.75,7.8,,,,7,6.5,8.25,N1
01000573,7.8,8.75,5.4,,,,5.75,7.5,8.5,N1
01000297,7.8,8.5,7.2,,,,7.5,7.25,8.5,N1
01000705,6.8,8.75,5.4,,,,4.5,7.25,8.5,N1
01000844,7.4,8.5,7.4,,,,8.25,8.75,8.5,N1
01000976
01000713,7,7.25,7.8,8.25,4.5,4.5,,,,N1
01000306,7.8,7,8,7.75,4.25,6,,,,N1
01000170,8.6,9,9.6,,,,9.75,7.25,8.25,N1
01000849,7.8,8.25,8.8,,,,6.25,7.75,7.25,N1
01000034,7.8,9.25,7.8,,,,7.75,8,8.25,N1
01000985
01000442
01000443
01000578,7,9.25,8.4,,,,5.75,7.75,7.5,N1
01000307
01000714,8,7.25,6,7.25,7.75,2.75,,,,N1
01000035,8,7.5,8.4,5,7.25,4.75,,,,N1
01000850
01000987
01000037,7.6,8.75,9.2,,,,8,7.25,7.75,N1
01000716,7.6,8.25,8.2,,,,6.75,7.25,8.25,N1
01000171,8,8.75,7.4,,,,5,6.75,7.75,N1
01000715,8.8,7.75,8.6,7.75,4.5,6,,,,N1
01000036,6.4,7.25,4.8,2.5,3.5,4.5,,,,N1
01000851,8.2,8.75,8.2,,,,6.75,6.5,8,N1
01000986
01000988
01000852,7.4,9,8.2,,,,9.25,9.5,9.75,N1
01000172
01000308,5.4,7.5,3.6,,,,7,8.75,9,N1
01000444,7.8,,6.8,7.75,8.5,,,,,N1
01000580,7.4,9,7.6,7,4,6.25,,,,N1
01000173,8,9.25,7.2,4.5,8.75,6.75,,,,N1
01000717,7,7.75,7.6,,,,7.75,8.25,9.5,N1
01000853,7,8.5,9.2,,,,8,8.5,8.25,N1
01000989,8.2,9,8.2,7.25,,,,,,N1
01000582,9,7.5,8.2,5.25,7,7.75,,,,N1
01000579,8,8.75,6,,,,8.25,8.25,9,N1
01000445
01000446,7.6,,8.8,9,9,1.75,,,,N1
01000581,8,9.25,8.4,,,,8,7.75,8.75,N1
01000039,7.2,5.75,5.6,,,,7.75,7.25,7.5,N1
01000990,6.4,8.75,7.6,,,,7.5,,,N1
01000309,7.6,8.25,7.8,7,4.75,5.75,,,,N1
01000038,8.2,9,8.6,,,,7.75,8.25,8.75,N1
01000174,7.2,8.25,8.2,,,,6.5,7.5,8.25,N1
01000583,8.6,7.75,7.2,,,,6.5,7,8.25,N6
01000854,8.2,9,4.8,,,,3.75,6.5,8.75,N1
01000310
01000311,6.6,9,8.2,,,,8,8.25,8.75,N1
01000991
01000447
01000856,7.2,7.75,8.6,,,,7.5,7.75,7.75,N1
01000719,6.8,9,8,,,,7.5,6,8.5,N1
01000175,5.2,9.25,6.2,,,,9.5,9.5,8,N1
01000041,6.2,7.75,8.2,7.25,7,5.75,,,,N1
01000992
01000855
01000312
01000718,8.4,8.25,7.8,,,,7.5,7,7.25,N1
01000720
01000993
01000177,6.6,7,6,2.75,7.75,7.25,,,,N1
01000585,6.8,8.25,5.6,,,,5.75,7.25,7.75,N1
01000584
01000176,8.6,9,9.4,,,,8.5,8,8.75,N1
01000314,8,8,7.4,8.75,7.75,6.25,,,,N1
01000857,8.4,9,9.4,,,,9.75,8.25,10,N1
01000040,7,7.75,6,,,,6.75,6,8.25,N1
01000586,5.4,9,8.6,,,,9.5,9.75,8.75,N1
01000449,7,6.5,8.6,4.5,6.25,5.25,,,,N1
01000448,8.6,9.25,8.8,,,,,,,N1
01000313,7,9,7.4,,,,7.25,7.5,8.5,N1
01000178,7,8.5,8.2,,,,5.5,8,6.5,N1
01000450
01000721,8.2,9,7.8,,,,4.5,6.25,8.75,N6
01000994,3.8,3.75,8.6,,,,4,6.25,,N1
01000858,6.6,8,6.8,,,,7.75,8.75,7.25,N1
01000722
01000723,8.6,8,6.4,,,,8,9.25,7.75,N1
01000179,9,7.75,9,7.25,4.25,4.25,,,,N1
01000588,8,8,8.6,9,4,5,,,,N1
01000451
01000180,8.6,7.75,9,8,5.75,5.25,,,,N1
01000859,7.6,9,8.8,,,,7,6.5,8,N1
01000860,8.4,9,8.4,,,,7.5,9,9.25,N1
01000316,7.2,9.25,7.6,,,,8.75,8.5,7.5,N1
01000587,6.8,8.5,7.6,8.75,4.5,5.5,,,,N1
01000181
01000996
01000042,7,8.5,7,,,,5.5,5,7,N1
01000043,8,8,9.6,8.25,6,7,,,,N1
01000995
01000997
01000044,9,7.75,7.6,8.5,8.5,6.5,,,,N1
01000724,8.4,8,8.4,8.5,5,6.5,,,,N1
01000452
01000046,7.8,8.25,9.2,7,5.5,6.25,,,,N1
01000453
01000317
01000725,8.2,8.5,6.8,3.5,5.5,4.5,,,,N1
01000861,6.6,9,6,,,,7,5.75,7.5,N1
01000318
01000045
01000589,7.4,8.25,8.8,,,,7,7.5,7.25,N1
01000315,7.8,9.25,8,,,,8.25,7.5,8.5,N1
01000182,8.2,8.5,9.2,,,,7.5,7.75,8.5,N1
01000726,8,9,9.2,,,,7.25,7.75,9.25,N1
01000862,8.2,9.5,8.8,,,,8,7.25,8.75,N1
01000454
01000590,8,8.25,8.8,,,,5.75,9.25,8.5,N1
01000183
01000998,8,8.5,7.6,,,,3.75,6,7,N1
01000047
01000455
01000999
01000184,8,7,6.2,4.75,8.25,7.5,,,,N1
01000864,5,8.5,9.2,,,,6.75,6.5,7,N1
01001000
01000456
01000049,7.6,6.5,8.6,5.5,5.5,6.25,,,,N1
01000727,8.4,8.75,9.4,8.25,7,6.5,,,,N1
01000592,7.4,7,9,6.25,5.75,6,,,,N1
01000591,8,7.75,8.2,,,,6,7.75,7.75,N1
01000185,7.2,8.25,8.2,7.75,8.25,6.5,,,,N1
01000729,8.2,9.5,8.4,,,,7.25,8.25,8.75,N1
01000458
01000048,6.8,5.5,6,,,,5.75,6.75,7.25,N1
01000594,7,8.75,5.8,,,,8,7.75,8.75,N1
01000731,7,8.75,6.6,,,,5.5,5,7,N1
01000188,8.2,8.25,8.4,7.25,6,5.75,,,,N1
01000320,8,6,8.2,4.75,8,8.25,,,,N1
01000457
01000595,7.8,8.25,9,7,5.5,8,,,,N1
01000596,7.8,8.75,9.8,,,,8.75,8.25,9,N1
01000052,6.6,8.5,7.4,,,,,6.75,,N3
01000865,6.8,8.75,7.6,,,,7.75,8,9,N1
01000732,7.4,8.5,9.2,,,,6,8,7.75,N1
01000189,7.2,8,5.4,,,,6,6.75,,N1
01000460
01000323,8,7.25,6.6,5,9.5,8.25,,,,N1
01000728,7.6,8.75,8.4,,,,8.75,7.75,8.5,N1
01000321,6.6,8,6,,,,8,6,8,N1
01000868,7.8,9,7.8,,,,9.25,9.25,8.75,N1
01000869,6.4,7.5,4,,,,6,8,7.25,N1
01000053,8,8.75,6.8,3.25,8.25,5.5,,,,N1
01000324
01000187,8.4,7.25,9.6,8.75,9.25,8,,,,N1
01000050,8,9.25,9.4,,,,8,8,8.5,N1
01000461
01000597,8,9.5,8.6,8,5.5,8,,,,N1
01000598,7.8,8,9.6,6.5,3.5,6.5,,,,N1
01000051,6.6,8,4.8,,,,7.75,7.75,8.75,N1
01000463
01000462
01000325,7.8,8.5,7.2,,,,5.25,7.75,8.25,N1
01000593,7.4,6.5,7.8,5,8.25,6.5,,,,N1
01000191,7,,6.4,,7.25,,,,,N1
01000466
01000193,7.8,8.5,8.6,7.5,4.5,5.5,,,,N1
01000465
01000329,8,8.75,9.2,,,,6.5,8,8.5,N1
01000194
01000866,7.2,8.5,9.2,,,,6.25,7.5,9,N1
01000737,8.2,8.25,8.4,8,4.5,4.75,,,,N1
01000874,5.8,7.75,7.4,,,,7,7.25,7.5,N1
01000739,7.8,8.75,9.6,8.25,5.25,7,,,,N1
01000467
01000870,6,9.25,5.8,,,,9.75,9.75,9.75,N1
01000599,7.2,9,7.4,,,,5.75,7.25,8,N1
01000190,4,9.5,7.8,,,,6.75,7.75,7.25,N1
01000055,7,6,3.6,4,6.75,5.25,,,,N1
01000054,7.8,9,8,,,,7,8.75,8.75,N1
01000735,8.8,6.75,7.6,6.5,9,7.5,,,,N1
01000730,7.8,8.5,8.8,,,,7.75,8,8.5,N1
01000322,7.6,7.75,8,,,,7,7.5,7.25,N1
01000601,8.6,7,9.2,8.25,3.25,4.75,,,,N1
01000186,3.6,7.5,7,,,,5.75,6,7.75,N1
01000871,8.4,8.5,8.6,,,,7.75,7.75,9.25,N1
01000464
01000867,6.2,6,6.4,,,,5.75,6.25,8,N1
01000057,9.2,7.5,8.8,7.75,5.75,5.75,,,,N1
01000736,7,6.75,3.8,7.75,7.25,7.25,,,,N6
01000459
01000330,7.4,9.25,7.4,,,,8.5,9.5,8.75,N1
01000734,8.6,8.75,9.4,,,,8,8.75,9.25,N1
01000873,6.6,7.5,9.6,,,,6,7.25,7.5,N1
01000872
01000328,7.2,8.5,5.4,,,,7.5,6.75,7.25,N1
01000602
01000058,7.6,7.5,9.2,,,,8.5,8,9,N1
01000195,8.4,9.5,9,,,,7.75,7.75,8,N1
01000600,8,7.75,4.4,8.75,7.75,3.75,,,,N1
01000056,8.2,9.25,8.8,,,,6.5,6,6.75,N1
01000326,6.4,7.5,7.8,,,,8.5,8,9.5,N1
01000875
01000603,6.8,7,9,7.75,5,3,,,,N1
01000196,7.8,8.5,7.6,,,,6.75,7,8,N1
01000060
01000192,7.8,9,8.2,,,,7.25,8.75,8.5,N1
01000733,8.2,9,8.6,,,,6.5,6.25,7,N1
01000059,8.4,6,9.2,4.75,5.25,6.25,,,,N1
01000327,5.4,7,8,,,,7.75,6.5,7.75,N1
01000331,6.2,8.75,8,,,,7.75,7.5,8.5,N1
01000604
01000468
01000740,8,7,9,8.75,5.25,5.5,,,,N1
01000332
01000738
01000606,7.6,7.5,5.4,8.5,9,5.25,,,,N1
01000742,8,7.75,8,7,4.5,6,,,,N1
01000198,8.2,9.5,8,,,,7.75,8.5,9,N1
01000062,8.6,8,8.6,8.5,2.25,6.25,,,,N1
01000877
01000334
01000063,5.4,9,7.4,,,,7.25,6,8,N1
01000197,8.4,8.5,8.2,,,,7,7.5,9,N1
01000876,7.4,8,8.6,,,,5.75,6.25,8.25,N1
01000741,8,8.5,7.6,9,8,5.5,,,,N1
01000333,8.4,8.75,8,,,,7.75,8.25,9.25,N1
01000061,6,6.5,8.6,,,,7.5,8.75,8.5,N1
01000469,8.4,8,9.4,,,,5.75,4.5,7,N1
01000472
01000743,7.6,7.75,8,4.5,6.5,4.5,,,,N1
01000605,8.2,7.75,9.4,,,,9,8.5,9.5,N1
01000064,8.2,9,9.2,,,,8.75,8,9.75,N1
01000199
01000607,8.4,7,9.4,7,8.25,7.25,,,,N1
01000880,7.2,8,7,,,,6.5,6.5,8.5,N1
01000470
01000878,8,9,8.2,,,,6,6.25,7,N1
01000471
01000335,8.2,8.5,7.8,,,,7.5,6.25,8.75,N1
01000879
01000744,6,7.75,4.2,,,,5.75,7,8.5,N1
01000336
01000608,7.4,7.75,7.4,6,6.25,4,,,,N1
01000200,8,7,5.6,4,8.25,7.25,,,,N1
01000319,8.8,7,6.6,6.5,7.75,4.75,,,,N1
01000863,7,8.75,8.6,,,,8.25,7.5,7.25,N1
