sbd, toan, ngu_van, ngoai_ngu, vat_li, hoa_hoc, sinh_hoc, lich_su, dia_li, gdcd, ma_nn
01000761,7.6,8.75,8.2,7.75,8.75,5,,,,N1
01000765,8.8,7.75,9.8,8.5,4.75,7.25,,,,N1
01000901
01000220,6.8,8.75,9.6,,,,9,8.25,9.25,N1
01000492
01000630,7.6,8.25,7.8,,,,8,7.75,7,N1
01000086,7.6,9,7,,,,6.5,6.25,7,N1
01000223,8,8.5,9.6,,,,9.25,9.25,9.25,N1
01000493
01000357,8,8,8.4,,,,8.5,7.75,8.5,N1
01000627,6.8,9,8.8,,,,6.75,8,7,N1
01000085
01000632,9.2,6.75,8.8,8.75,7,5.25,,,,N1
01000900,7.2,5.75,9.8,,,,8.5,8.75,9,N1
01000770,6.8,7.5,8.6,,,,8.25,8.25,8.25,N1
01000767,8.4,7.75,7.2,,,,6.75,8,9,N1
01000764,7.2,9.25,6.8,,,,6,4.5,6.5,N1
01000356,6.2,8.25,7.8,,,,6.75,7.5,8.25,N1
01000358
01000221,6.6,8.75,8.2,,,,6.75,7.75,7,N1
01000496
01000769,7.8,7.5,8.8,7.25,3.75,5.75,,,,N1
01000629,8.6,7,3.6,8.25,8,4.25,,,,N1
01000628,6.8,6,8.6,6.5,3.5,5.5,,,,N1
01000089,7.6,7.5,8.4,,,,5.75,8.25,8.25,N1
01000362
01000771,7.4,8.5,6,,,,7.25,7.5,8,N1
01000090,7.8,8.5,5.6,8.5,8.25,5,,,,N1
01000766,7.4,8.5,8.4,,,,9.5,9.75,10,N1
01000495
01000634,8,8.5,7.4,6.75,8,5.75,,,,N1
01000087,7.4,8.5,8,,,,6.5,7.25,8.25,N1
01000491
01000902
01000499
01000631,7,9.25,6.8,,,,5.5,8,7.75,N1
01000498,8.4,,8.8,6.75,,,,,,N1
01000360,8.4,9.25,7.4,,,,8.75,8,8.25,N1
01000635,6.2,7.75,8.4,,,,9,7.75,7.25,N1
01000633,7.8,7.5,9,7,3.75,6,,,,N1
01000222
01000088,7,9,8,,,,6.75,7.25,9,N1
01000768,8.4,8,8.8,,,,7.75,5.25,7,N1
01000361
01000494,8.4,,8.8,7,6.75,6.75,,,,N1
01000225,7,8.25,8.6,,,,6.75,6.75,7.75,N1
01000091,7.8,8.75,8.6,,,,8.5,8.75,8.5,N1
01000363,7.4,9,6.6,,,,,,,N1
01000497
01000224,8.6,8.5,9.2,7.25,9.25,8.5,,,,N1
01000904
01000359,8,9.25,8,,,,7,7,7.75,N1
01000227
01000907
01000906
01000905
01000226,7.4,9,6.4,8.5,8.5,7,,,,N1
01000486
01000350,7.2,9,8.8,,,,8.25,7,9,N1
01000092,7.8,9.25,8.6,,,,8,7.5,8.5,N1
01000894,7.6,9.25,7.8,,,,6.25,8,8.5,N1
01000757,7.8,6.5,8,1.75,8,3.25,,,,N1
01000072,7,8.75,8.4,,,,7.75,7.5,8.5,N1
01000215
01000079
01000228,7.2,8,9.2,,,,8.25,7.25,8,N1
01000903
01000908
01000364
01000500
01000636
01000772,7.4,8.5,5.8,,,,6.75,6.75,7,N1
01000365
01000093,6.8,8,4.8,,,,7.75,7.75,9,N1
01000503
01000366
01000229,9.2,9,9,8,5.25,5.25,,,,N1
01000639,8.4,8,6.4,3,8,6.5,,,,N1
01000502,4.4,,8,,,,,8.25,,N1
01000367
01000909
01000911
01000910
01000637,8.6,8.5,8,,,,6.75,8.5,8,N1
01000095
01000096,8.2,9.5,7.6,,,,7.5,8.25,8.25,N1
01000231
01000773,8.4,6.75,8.2,8.5,4.5,4.5,,,,N1
01000640,8.6,9,9.4,,,,8.5,8.75,9.5,N1
01000230,7.2,6.5,5.8,7.75,6.5,5.75,,,,N1
01000094
01000775,7.2,7.5,8.8,,,,6.75,7.75,7.25,N1
01000776
01000641,7.2,8.75,8.6,6.75,4.25,4.75,,,,N1
01000234,8.2,7.25,6,7.25,6.75,6,,,,N1
01000097,8.8,9.25,8.8,,,,7.75,8,8.5,N1
01000369
01000912
01000368
01000913
01000370,8,9.25,6.8,,,,7.25,8,,N6
01000098
01000777,8.4,7.5,8.4,7.75,5.75,7.5,,,,N1
01000642,9,8.75,9,,,,9,6.75,8.5,N1
01000506,7.2,8,5.8,,,,6,6,,N1
01000233,7.6,8.25,8.4,,,,6.75,8,9.5,N1
01000779,6,8.5,4.2,,,,8.75,6.5,8.25,N1
01000778,8,6.75,8.4,8.25,8.5,6,,,,N1
01000509,8,9.25,7,,,,8.5,8.75,9.5,N1
01000099,8.4,9,8.8,,,,7,8.25,9,N1
01000101,9,6.5,8.6,,,,8.75,8.25,9.25,N1
01000371
01000914
01000372
01000507
01000781,7.6,8,8.8,,,,8,9,8.75,N1
01000239,7.8,8.75,8,,,,6.75,8.25,8.25,N1
01000915
01000237
01000373
01000917
01000645
01000782,8.2,7.75,9,,,,6,7.75,8.5,N1
01000918
01000780,7.8,8.5,8.2,,,,7.5,7.75,8.75,N1
01000240,8.8,4.25,7.2,7.75,9,5,,,,N1
01000783,6,7.75,8.2,1.75,3.5,6,,,,N1
01000238,5.6,8,8.4,,,,7.5,6.75,7.75,N1
01000103,8.4,9,8.2,,,,5.25,5.5,8.75,N1
01000508
01000919
01000511,7,9.25,3,,,,7.25,7.75,9.75,N1
01000647
01000100,5.6,9,5,,,,7.25,5,7.75,N1
01000102,6.4,8,8.8,,,,8.5,7.5,9.25,N1
01000510,8,9.25,8,,,,6.5,6.25,7.5,N1
01000104,7.8,6,5,6.25,8,5.25,,,,N1
01000375
01000784,7,8.75,8.2,,,,8,7,8.25,N1
01000512,7.2,9,7.2,,,,8.75,9.75,9.5,N1
01000648,8.4,9.25,9.4,,,,7.5,9,8.25,N1
01000376
01000241,6.8,5.75,6.2,5,3.75,4,,,,N1
01000374
01000920
01000513,7.6,8.5,6.8,,,,7.25,6.75,8.75,N1
01000377
01000105,7.2,7.75,7,,,,8.25,8,9,N1
01000785,8,9.5,9,,,,8.5,9,9.25,N1
01000649,6,8.25,6.8,,,,9.25,9.5,9,N1
01000242,6.8,9.25,8,,,,8.25,7.25,8.25,N4
01000106,7.4,6.25,6.4,7.75,3.5,6,,,,N1
01000921
01000786,7.8,8.5,9,,,,6.25,5.5,7.5,N1
01000922
01000650,9,9.5,9.8,,,,7,8.25,9.25,N1
01000378
01000514,8.4,9.25,8.8,,,,7.25,7.5,8.25,N1
01000501
01000774,8.4,8.25,9.4,8.75,6.5,7,,,,N1
01000638,7,7.5,7.8,,,,7,6.5,7.25,N1
01000380
01000923
01000108,8.2,8.25,6.4,,,,6.5,7.75,8.75,N1
01000653,8.2,8.5,8.8,,,,8,7.25,7.5,N1
01000516,7.6,8.75,7.2,,,,6.25,7,6.75,N1
01000517,8,8.75,9,,,,9,8.5,9.75,N1
01000925
01000382
01000787,8.4,8.75,9,,,,8.5,7.75,8,N1
01000246,8.8,8.75,9,,,,8.75,8.75,9,N1
01000788,9,9,8.4,,,,7.5,8.25,9.25,N1
01000504
01000232,8.4,9.25,9.6,,,,8,7.75,8.25,N1
01000505,5.6,7.25,5,,,,,,,N1
01000652,7.4,8.75,7.6,8.75,7.75,7.5,,,,N1
01000651,7.6,9.5,9.2,,,,5.75,7.75,8.75,N1
01000379
01000107,7.6,6.5,7.4,6,5.5,5.75,,,,N1
01000515,8,9,8.6,,,,6.5,5.75,6.75,N1
01000243
01000244,7,7.5,9.2,,,,7.75,5.5,8.25,N1
01000654,7,9.5,9,,,,9,7,8.5,N1
01000926
01000109,8.2,9,8.8,,,,5.75,8.25,8.25,N1
01000381
01000789,7.6,8.5,9,6.5,4.25,6.75,,,,N1
01000235,7.8,9.25,8.6,,,,8,8.25,9.25,N1
01000386
01000385
01000794,8.2,6.5,9.2,7.5,5.75,4.25,,,,N1
01000929
01000928
01000930
01000790,8.2,9.25,9.2,,,,8.75,8.25,9,N1
01000927
01000383
01000520,8.6,9.5,8.2,,,,7.25,9,9.25,N1
01000248,7.4,9,9.2,,,,6.75,6.75,8.25,N1
01000924
01000792,7.8,9,6.6,,,,6.5,6.5,7.5,N1
01000111,8.6,5.5,8,6.75,9.25,5.75,,,,N1
01000112,6.6,6.75,7,,,,7.5,7.75,8.5,N1
01000110,9.2,8.75,8.8,,,,9.5,7.75,7.25,N1
01000113,8.4,8.5,9.4,7.75,6.25,6,,,,N1
01000655,7.6,8,5.8,7.75,7,7.5,,,,N1
01000384
01000245,7.8,9.25,9.6,,,,8.5,7.75,8.25,N1
01000521,6.2,9,8.4,,,,7.5,7.5,8,N1
01000793,6.8,7.75,5.6,,,,5.25,7.5,6.25,N1
01000791,8,7.5,8.6,6.25,4.75,5.5,,,,N1
01000001,8.4,6.75,8,6,5.25,5,,,,N1
01000247,7.8,8.5,7.8,,,,8,8,8.25,N1
01000249,8.2,9.5,8.8,,,,7.5,8.25,9.5,N1
01000114,8,8.5,7.4,,,,6.25,7.5,,N7
01000519,7.4,8.75,8.4,,,,7,6.75,8,N1
01000656,8.4,8.75,9,,,,7.5,7.75,9,N1
01000657,8.2,8.25,7.8,,,,7.5,7,8.5,N1
01000250,7,9,7.8,,,,7.5,8.25,7.5,N1
01000643,8,9.25,8.2,,,,6.5,6.5,8.5,N1
